path,type,key_guess,energy,brightness
/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 8.wav,Snare,A,0.1119,0.2562
/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 6.wav,Snare,D#,0.2021,0.3308
/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 7.wav,Snare,C#m,0.106,0.8809
/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 6.wav,Snare,G#,0.13,0.2187
/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 4.wav,Snare,A#m,0.1671,0.383
/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 12.wav,Snare,D#m,0.1887,0.3782
/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 11.wav,Snare,A#m,0.1581,0.5702
/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 9.wav,Snare,G#m,0.3436,0.3997
/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 5.wav,Snare,D#m,0.1846,0.4005
/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 10.wav,Snare,B,0.1842,0.2872
/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 1.wav,Snare,C#,0.1424,0.7189
/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 8.wav,Snare,Em,0.207,0.4379
/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 2.wav,Snare,G#,0.1373,0.7407
/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 3.wav,Snare,D#m,0.2164,0.5651
/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 7.wav,Snare,A#m,0.2051,0.3361
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_003_110_Am.wav,Synth,A,0.66,0.3283
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_004_110_Am.wav,Synth,E,0.6573,0.1599
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_001_110_Am.wav,Synth,Bm,0.4968,0.2674
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_002_110_Am.wav,Synth,C,0.5258,0.0544
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_008_110_Am.wav,Synth,Am,0.333,0.176
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_006_110_Am.wav,Synth,Dm,0.6548,0.1406
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_005_110_Am.wav,Synth,Am,0.1758,0.184
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_009_110_Am.wav,Synth,G#,0.5774,0.2493
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_001V2_110_Am.wav,Synth,A,0.4931,0.23
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_014_110_Am.wav,Synth,G#,0.4609,0.2806
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_007_110_Am.wav,Synth,Cm,0.3587,0.1445
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_010_110_Am.wav,Synth,A,0.4097,0.0866
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_011_110_Am.wav,Synth,Am,0.6804,0.1157
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_012_110_Am.wav,Synth,Am,0.7403,0.3676
/content/drive/MyDrive/techno dataset/Berlin underground/Synth loop/Synthloop_013_110_Am.wav,Synth,A,0.7848,0.1638
